timestamp,open,high,low,close,volume
2019-10-21 16:00:00,138.3600,138.5100,138.3600,138.4300,1167306
2019-10-21 15:55:00,138.1750,138.3700,138.1500,138.3550,379458
2019-10-21 15:50:00,138.1600,138.1860,138.1250,138.1700,221942
2019-10-21 15:45:00,138.1500,138.2100,138.1400,138.1650,157051
2019-10-21 15:40:00,138.1800,138.2000,138.1450,138.1542,241560
2019-10-21 15:35:00,138.2100,138.2600,138.1800,138.1800,160472
2019-10-21 15:30:00,138.2150,138.2200,138.2000,138.2150,134965
2019-10-21 15:25:00,138.2800,138.2900,138.1700,138.2139,160630
2019-10-21 15:20:00,138.1750,138.2900,138.1600,138.2750,143763
2019-10-21 15:15:00,138.1305,138.1900,138.1250,138.1700,157177
2019-10-21 15:10:00,138.1450,138.1620,138.1300,138.1300,155263
2019-10-21 15:05:00,138.1100,138.1400,138.0990,138.1400,179579
2019-10-21 15:00:00,138.0900,138.1100,138.0700,138.1100,76699
2019-10-21 14:55:00,138.1100,138.1300,138.0300,138.0950,151765
2019-10-21 14:50:00,138.1100,138.1140,138.0900,138.1140,81965
2019-10-21 14:45:00,138.0800,138.1300,138.0700,138.1100,109436
2019-10-21 14:40:00,138.0400,138.1100,138.0350,138.0844,78762
2019-10-21 14:35:00,138.0500,138.0800,138.0500,138.0500,95631
2019-10-21 14:30:00,138.0450,138.1078,138.0400,138.0400,82060
2019-10-21 14:25:00,138.0550,138.0700,138.0200,138.0449,84538
2019-10-21 14:20:00,138.0800,138.1000,138.0540,138.0540,74013
2019-10-21 14:15:00,138.1400,138.1400,138.0800,138.0800,93258
2019-10-21 14:10:00,138.1200,138.1430,138.1100,138.1350,85775
2019-10-21 14:05:00,138.0150,138.1500,138.0100,138.1200,147887
2019-10-21 14:00:00,138.0000,138.0400,138.0000,138.0200,150874
2019-10-21 13:55:00,137.9629,138.0050,137.9500,137.9900,73637
2019-10-21 13:50:00,138.0127,138.0150,137.9700,137.9700,94151
2019-10-21 13:45:00,138.0150,138.0190,137.9550,138.0188,126283
2019-10-21 13:40:00,138.0100,138.0160,137.9750,138.0150,70698
2019-10-21 13:35:00,137.9950,138.0400,137.9700,138.0083,133344
2019-10-21 13:30:00,137.9950,138.0200,137.9900,138.0000,139222
2019-10-21 13:25:00,137.9900,137.9950,137.9720,137.9950,97217
2019-10-21 13:20:00,138.0350,138.0500,138.0000,138.0000,173449
2019-10-21 13:15:00,138.0001,138.0350,137.9800,138.0350,118744
2019-10-21 13:10:00,138.0150,138.0320,137.9700,138.0053,106310
2019-10-21 13:05:00,137.9000,138.0350,137.8600,138.0140,128481
2019-10-21 13:00:00,137.9100,137.9250,137.8550,137.9000,139492
2019-10-21 12:55:00,137.8450,137.9600,137.8400,137.9077,206591
2019-10-21 12:50:00,137.8300,137.8700,137.8200,137.8400,91554
2019-10-21 12:45:00,137.8100,137.8400,137.8000,137.8300,234997
2019-10-21 12:40:00,137.7700,137.8100,137.7500,137.8050,139638
2019-10-21 12:35:00,137.8500,137.8890,137.7600,137.7800,137543
2019-10-21 12:30:00,137.8100,137.8400,137.7830,137.8400,149576
2019-10-21 12:25:00,137.7862,137.8340,137.7860,137.8061,134766
2019-10-21 12:20:00,137.7300,137.7850,137.7067,137.7850,100743
2019-10-21 12:15:00,137.6450,137.7300,137.6400,137.7219,94878
2019-10-21 12:10:00,137.5250,137.6500,137.5200,137.6450,136334
2019-10-21 12:05:00,137.4650,137.5660,137.4350,137.5300,139378
2019-10-21 12:00:00,137.4300,137.4900,137.3200,137.4700,147027
2019-10-21 11:55:00,137.5200,137.5200,137.4200,137.4400,184937
2019-10-21 11:50:00,137.5950,137.6200,137.5000,137.5100,172409
2019-10-21 11:45:00,137.6200,137.6850,137.5800,137.5800,98888
2019-10-21 11:40:00,137.7000,137.7100,137.5600,137.6200,254729
2019-10-21 11:35:00,137.8500,137.8500,137.7000,137.7016,171720
2019-10-21 11:30:00,137.8400,137.8700,137.8130,137.8400,206047
2019-10-21 11:25:00,137.7700,137.8500,137.7450,137.8400,133257
2019-10-21 11:20:00,137.9000,137.9000,137.7600,137.7630,155030
2019-10-21 11:15:00,137.7800,137.9256,137.7700,137.8902,150665
2019-10-21 11:10:00,137.8650,137.9486,137.7816,137.7850,235405
2019-10-21 11:05:00,137.9200,137.9700,137.7800,137.8550,223421
2019-10-21 11:00:00,137.8600,137.9600,137.8400,137.9200,197002
2019-10-21 10:55:00,137.8000,137.9400,137.7900,137.8700,172035
2019-10-21 10:50:00,137.8800,137.8900,137.7200,137.7900,179140
2019-10-21 10:45:00,137.9900,138.0650,137.8800,137.8800,276549
2019-10-21 10:40:00,137.6784,137.9850,137.5900,137.9850,287401
2019-10-21 10:35:00,137.7600,137.7900,137.6700,137.6700,210896
2019-10-21 10:30:00,137.5400,137.8500,137.5400,137.7500,339414
2019-10-21 10:25:00,137.5168,137.5600,137.4600,137.5444,236451
2019-10-21 10:20:00,137.3600,137.5300,137.2900,137.5200,248975
2019-10-21 10:15:00,137.0799,137.4400,137.0100,137.3500,270222
2019-10-21 10:10:00,137.3400,137.3800,137.0600,137.0755,387188
2019-10-21 10:05:00,137.3800,137.5100,137.2809,137.3400,313752
2019-10-21 10:00:00,137.4200,137.4870,137.3500,137.4100,278301
2019-10-21 09:55:00,137.2526,137.5200,137.2500,137.4200,401639
2019-10-21 09:50:00,137.4782,137.5100,137.1600,137.2350,554047
2019-10-21 09:45:00,137.9544,138.0100,137.4400,137.4500,474536
2019-10-21 09:40:00,137.9100,138.2300,137.9100,137.9350,569457
2019-10-21 09:35:00,138.4500,138.5000,137.9300,137.9300,1252947
2019-10-18 16:00:00,137.7300,137.7300,137.3400,137.3400,1398985
